"name","mmsi","length","width","draught","shiptype","imo","direction","starttime"
"V2XW","304955000",103.0,16.0,4.699999809265137,"Tanker",9367217,"Hamburg","2017-03-22T00:06:19.0"
"V7BY3","538005216",225.0,32.0,8.899999618530273,"GeneralCargo",9669330,"Nordsee","2017-03-19T17:13:48.0"
"V7CP4","538001512",250.0,44.0,8.5,"Tanker",9213301,"Nordsee","2017-03-23T10:23:34.0"
"V7DF9","538090400",159.0,26.0,8.600000381469727,"GeneralCargo",9220067,"Nordsee","2017-03-19T08:41:59.0"
"V7DF9","538090400",159.0,26.0,8.800000190734863,"GeneralCargo",9220067,"Hamburg","2017-03-18T00:04:16.0"
"V7FS3","538090156",193.0,28.0,9.899999618530273,"GeneralCargo",9292022,"Hamburg","2017-03-18T12:50:17.0"
"V7FT7","538005655",113.0,16.0,6.800000190734863,"GeneralCargo",7527849,"Nordsee","2017-03-18T08:28:04.0"
"V7GN9","538005733",300.0,48.0,10.800000190734863,"GeneralCargo",9698630,"Nordsee","2017-03-17T01:37:29.0"
"V7MU7","538006408",229.0,38.0,12.5,"GeneralCargo",9740835,"Hamburg","2017-03-23T00:08:50.0"
"V7RM4","538003540",189.0,32.0,7.900000095367432,"GeneralCargo",9490674,"Nordsee","2017-03-17T01:56:16.0"
"V7WP9","538004365",229.0,32.0,14.300000190734863,"GeneralCargo",9461324,"Hamburg","2017-03-19T04:26:08.0"
"V7WP9","538004365",229.0,32.0,14.399999618530273,"GeneralCargo",9461324,"Hamburg","2017-03-19T09:20:12.0"
"V7ZQ4","538090451",200.0,30.0,7.800000190734863,"GeneralCargo",9465411,"Hamburg","2017-03-17T01:02:33.0"
"V7ZQ4","538090451",200.0,30.0,8.0,"GeneralCargo",9465411,"Nordsee","2017-03-21T11:05:41.0"
"VRFO7","477559200",210.0,30.0,9.600000381469727,"GeneralCargo",9434931,"Nordsee","2017-03-20T14:46:01.0"
"VRID5","477266900",334.0,43.0,9.699999809265137,"GeneralCargo",9448815,"Nordsee","2017-03-21T13:13:32.0"
"VRLT8","477427500",366.0,51.0,13.5,"GeneralCargo",9516404,"Hamburg","2017-03-23T00:01:53.0"
"VRLZ3","477832500",366.0,48.0,12.699999809265137,"GeneralCargo",9568258,"Nordsee","2017-03-21T16:36:30.0"
"VRLZ3","477832500",366.0,48.0,13.0,"GeneralCargo",9568258,"Hamburg","2017-03-19T09:56:50.0"
"VRMX2","477776200",366.0,52.0,12.800000190734863,"GeneralCargo",9516442,"Nordsee","2017-03-19T04:21:21.0"
"VROB9","477066700",337.0,48.0,13.100000381469727,"GeneralCargo",9713337,"Nordsee","2017-03-17T16:56:41.0"
"VROE2","477967800",400.0,58.0,11.699999809265137,"GeneralCargo",9695145,"Nordsee","2017-03-23T09:15:21.0"
"VROE2","477967800",400.0,58.0,11.800000190734863,"GeneralCargo",9695145,"Hamburg","2017-03-21T00:09:21.0"
"VROE2","477967800",400.0,58.0,12.100000381469727,"GeneralCargo",9695145,"Hamburg","2017-03-21T02:15:21.0"
"VRPE5","477129300",367.0,51.0,14.100000381469727,"GeneralCargo",9708447,"Hamburg","2017-03-22T05:08:45.0"
"VRPE5","477129300",367.0,51.0,14.199999809265137,"GeneralCargo",9708447,"Hamburg","2017-03-22T02:52:31.0"
"VRQA2","477858700",177.0,31.0,7.0,"GeneralCargo",9763722,"Nordsee","2017-03-21T22:56:58.0"
"VRYO3","477321000",294.0,32.0,9.800000190734863,"GeneralCargo",9253739,"Hamburg","2017-03-17T10:25:20.0"
"VRYO3","477321000",294.0,32.0,10.899999618530273,"GeneralCargo",9253739,"Nordsee","2017-03-18T22:36:15.0"
"ZCBD4","310133000",216.0,32.0,8.800000190734863,"GeneralCargo",9108130,"Nordsee","2017-03-23T22:12:07.0"
"ZCDH7","310398000",216.0,32.0,9.800000190734863,"GeneralCargo",9112296,"Nordsee","2017-03-17T02:14:19.0"
"ZDIS8","236481000",134.0,23.0,7.099999904632568,"GeneralCargo",9333357,"Nordsee","2017-03-17T09:11:28.0"
"ZDJD2","236511000",140.0,21.0,5.599999904632568,"Tanker",9424053,"Hamburg","2017-03-17T03:02:16.0"
"ZDJJ3","236529000",140.0,21.0,5.599999904632568,"Tanker",9494216,"Hamburg","2017-03-20T08:58:52.0"
"ZDNM7","236111978",132.0,19.0,6.699999809265137,"GeneralCargo",9264714,"Hamburg","2017-03-21T08:08:48.0"
"ZDNM7","236111978",132.0,19.0,6.900000095367432,"GeneralCargo",9264714,"Hamburg","2017-03-21T00:01:10.0"
"ZDPF8","236669000",90.0,15.0,6.400000095367432,"Tanker",9020417,"Hamburg","2017-03-23T10:30:46.0"
"ZDPT4","236691000",142.0,21.0,5.800000190734863,"GeneralCargo",9365984,"Hamburg","2017-03-17T00:00:05.0"
"ZDPT4","236691000",142.0,21.0,6.800000190734863,"GeneralCargo",9365984,"Nordsee","2017-03-18T01:36:05.0"
